# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
6.0,-1.173375,0,6,10.639114
5.0,-1.457783,0,5,10.653799
5.0,-4.139247,0,5,10.668836
8.0,-4.921015,0,8,10.692398
7.0,-2.684068,0,7,10.71327
9.0,-1.454948,0,9,10.740401
4.0,-0.043835,0,4,10.754184
4.0,-3.534757,0,4,10.766495
7.0,-0.539689,0,7,10.789517
5.0,-1.414936,0,5,10.804445
6.0,-5.026496,0,6,10.822093
7.0,-6.344375,0,7,10.842705
5.0,-0.762461,0,5,10.858135
7.0,-4.652695,0,7,10.879085
6.0,-1.244513,0,6,10.896857
5.0,-0.04637,0,5,10.913744
5.0,-1.385803,0,5,10.92924
4.0,-0.014147,0,4,10.942913
14.0,-0.180587,0,14,10.991923
4.0,-0.049345,0,4,11.005863
4.0,-0.102168,0,4,11.020147
12.0,-12.5697,0,12,11.055978
11.0,-3.066173,0,11,11.088207
12.0,-13.30534,0,12,11.12343
6.0,-4.455537,0,6,11.141439
5.0,-3.060377,0,5,11.156238
5.0,-0.077268,0,5,11.173096
6.0,-0.520062,0,6,11.19233
6.0,-4.558347,0,6,11.210581
6.0,-0.039353,0,6,11.230893
10.0,-0.279412,0,10,11.265042
4.0,-3.519888,0,4,11.277645
5.0,-2.172488,0,5,11.292728
7.0,-0.265171,0,7,11.315983
4.0,-2.685314,0,4,11.328487
6.0,-0.923691,0,6,11.346323
4.0,-1.952067,0,4,11.358734
4.0,-0.026598,0,4,11.372362
5.0,-0.219567,0,5,11.389207
7.0,-1.376494,0,7,11.410275
6.0,-7.02962,0,6,11.427981
9.0,-0.104137,0,9,11.458729
7.0,-0.289435,0,7,11.483173
4.0,-0.759503,0,4,11.496031
12.0,-11.765485,0,12,11.531321
4.0,-1.521954,0,4,11.543256
5.0,-0.833272,0,5,11.558306
9.0,-0.619647,0,9,11.587459
7.0,-1.580949,0,7,11.608648
8.0,-1.349572,0,8,11.632157
6.0,-4.592837,0,6,11.649978
4.0,-2.741622,0,4,11.664897
5.0,-0.528826,0,5,11.681373
7.0,-1.137047,0,7,11.704216
5.0,-0.354909,0,5,11.722909
8.0,-3.804038,0,8,11.747324
7.0,-1.630908,0,7,11.768084
5.0,-3.320661,0,5,11.783129
7.0,-0.907341,0,7,11.805151
4.0,-0.011791,0,4,11.818901
6.0,-4.606042,0,6,11.837359
6.0,-6.190711,0,6,11.855327
7.0,-4.786101,0,7,11.876227
6.0,-0.231228,0,6,11.896844
5.0,-0.489855,0,5,11.913051
4.0,-0.371885,0,4,11.927311
5.0,-3.049135,0,5,11.942247
4.0,-0.570415,0,4,11.954263
5.0,-0.787984,0,5,11.969763
5.0,-0.687232,0,5,11.985444
10.0,-4.28333,0,10,12.015388
4.0,-1.288486,0,4,12.027383
4.0,-0.245645,0,4,12.041151
5.0,-2.24959,0,5,12.056137
8.0,-2.355684,0,8,12.079529
6.0,-4.525619,0,6,12.097518
4.0,-4.131369,0,4,12.109481
10.0,-0.758163,0,10,12.143986
8.0,-3.813422,0,8,12.167697
8.0,-4.23245,0,8,12.191922
5.0,-0.224871,0,5,12.209281
6.0,-0.791869,0,6,12.229778
4.0,-2.694113,0,4,12.242569
11.0,-0.595889,0,11,12.281058
7.0,-0.409307,0,7,12.305815
4.0,-2.640728,0,4,12.317904
5.0,-0.088383,0,5,12.335078
7.0,-1.965597,0,7,12.356532
8.0,-6.667758,0,8,12.380352
4.0,-0.359594,0,4,12.392944
4.0,-0.178641,0,4,12.407501
5.0,-2.3289,0,5,12.423068
4.0,-3.480158,0,4,12.43484
7.0,-3.371958,0,7,12.455863
7.0,-0.144375,0,7,12.480708
6.0,-4.484635,0,6,12.499595
4.0,-0.534565,0,4,12.511258
5.0,-1.661281,0,5,12.52665
4.0,-0.025682,0,4,12.54031
6.0,-0.209315,0,6,12.56207
4.0,-0.251554,0,4,12.576734
6.0,-4.509783,0,6,12.595366
4.0,-1.001203,0,4,12.607422
4.0,-2.083909,0,4,12.619563
10.0,-2.674038,0,10,12.649134
21.0,-9.332476,0,21,12.710563
12.0,-10.825848,0,12,12.745981
