# {"t_start": 1561570421.1046743, "env_id": "Humanoid-v2"} 
r,l,t
76.006896,16,82.155254
71.087387,15,82.221693
61.618146,13,82.277357
66.55511,14,82.337252
75.935229,16,82.406204
66.442288,14,82.4653
70.442043,15,82.529675
81.541765,17,82.601925
154.443602,30,83.186951
87.648179,19,83.268087
111.774434,22,83.364239
113.385073,23,83.466193
70.796194,15,83.529877
66.423087,14,83.590769
66.24105,14,83.650433
71.275796,15,83.715797
97.16519,21,83.805976
136.981242,25,83.915379
70.943987,15,83.980058
66.143561,14,84.040317
61.508141,13,84.095973
137.558249,32,84.241165
70.973744,15,84.305053
66.262109,14,84.363961
66.22863,14,84.422086
66.302259,14,84.481194
92.410845,20,84.564922
71.033757,15,84.629285
71.125757,15,84.693077
133.409337,26,84.807116
66.209728,14,84.865994
157.852014,34,85.01058
71.123783,15,85.073547
66.201181,14,85.132026
79.62066,16,85.200738
66.2026,14,85.26259
74.781333,16,85.333814
66.527838,14,85.394256
56.809587,12,85.446686
71.248544,15,85.512092
66.232023,14,85.572695
90.522212,19,85.654125
70.885472,15,85.719302
66.51117,14,85.779358
66.251965,14,85.839795
75.95482,16,85.909585
61.535513,13,85.966082
61.511532,13,86.022166
75.562379,16,86.091169
163.08403,36,86.250915
66.414563,14,86.311428
70.94235,15,86.376087
56.818789,12,86.4285
66.305177,14,86.488259
61.598226,13,86.543923
70.925561,15,86.608015
61.622309,13,86.664712
134.302086,26,86.781321
92.220386,20,86.866775
61.490582,13,86.922288
155.078193,32,87.066079
61.631069,13,87.12262
101.637977,22,87.220159
102.406431,23,87.319733
66.41636,14,87.380052
126.481963,28,87.96578
61.620969,13,88.021754
66.345503,14,88.081002
56.656235,12,88.132657
71.177448,15,88.19706
446.770344,90,88.599221
61.460506,13,88.655027
81.785049,18,88.733714
70.917299,15,88.798203
208.257991,44,88.997597
61.421932,13,89.054824
51.910998,11,89.103017
61.432424,13,89.15982
71.10139,15,89.224069
70.840153,15,89.288411
66.404642,14,89.348932
228.589597,43,89.544296
66.179709,14,89.605213
77.153187,16,89.675878
66.278428,14,89.735506
114.165216,23,89.837254
75.446311,16,89.906386
70.965806,15,89.971519
80.22571,17,90.042604
71.183498,15,90.10671
71.216884,15,90.169621
71.145512,15,90.232332
91.309239,21,90.322619
78.446813,16,90.390407
80.973473,17,90.461646
66.41041,14,90.520372
71.048844,15,90.582002
74.00717,16,90.650891
61.661979,13,90.706131
66.376408,14,90.765657
75.38639,16,90.834805
75.688488,16,90.901667
70.984361,15,90.96504
66.364517,14,91.023615
150.530455,31,91.15713
74.077774,16,91.224753
56.811527,12,91.276135
70.973912,15,91.339156
121.640259,27,91.451697
71.080326,15,91.512706
61.628277,13,91.567997
75.70193,16,91.634934
75.581839,16,91.699818
66.079877,14,91.758969
85.566133,19,91.840854
71.27001,15,91.903537
70.991448,15,91.966742
71.083683,15,92.03017
75.595799,16,92.097633
70.970757,15,92.161615
70.922516,15,92.225236
74.510435,16,92.761093
80.661764,17,92.834903
75.838175,16,92.903562
66.116299,14,92.964152
66.308728,14,93.025311
61.399185,13,93.080731
66.327091,14,93.140838
77.990133,17,93.216062
66.462021,14,93.277449
100.626504,22,93.374451
66.398732,14,93.434515
71.21438,15,93.499215
66.199392,14,93.561103
149.998751,30,93.697485
66.411539,14,93.75817
61.730358,13,93.814725
75.946094,16,93.880826
66.291682,14,93.937593
75.689384,16,94.005644
70.916996,15,94.069629
131.599,27,94.189811
70.977241,15,94.253593
