# {"t_start": 1562341552.4766877, "env_id": "InvertedPendulumBL-v2"} 
r,violation,l,t
7.0,0,7,14.200615
7.0,0,7,14.213767
2.0,0,2,14.220248
6.0,0,6,14.235361
4.0,0,4,14.245001
2.0,0,2,14.249459
2.0,0,2,14.253357
16.0,0,16,14.283155
3.0,0,3,14.289728
2.0,0,2,14.29413
6.0,0,6,14.304754
3.0,0,3,14.310516
3.0,0,3,14.318511
2.0,0,2,14.324225
2.0,0,2,14.332019
3.0,0,3,14.341398
3.0,0,3,14.349977
3.0,0,3,14.357076
10.0,0,10,14.375632
2.0,0,2,14.379905
3.0,0,3,14.385754
3.0,0,3,14.39151
3.0,0,3,14.397292
3.0,0,3,14.405598
3.0,0,3,14.411805
6.0,0,6,14.423248
3.0,0,3,14.433016
2.0,0,2,14.437553
5.0,0,5,14.446235
37.0,0,37,14.514962
4.0,0,4,14.524502
2.0,0,2,14.529225
3.0,0,3,14.538481
2.0,0,2,14.544218
6.0,0,6,14.558476
2.0,0,2,14.564467
10.0,0,10,14.586605
3.0,0,3,14.592534
3.0,0,3,14.598264
3.0,0,3,14.603726
2.0,0,2,14.607419
8.0,0,8,14.620431
8.0,0,8,14.634444
3.0,0,3,14.646551
3.0,0,3,14.654451
3.0,0,3,14.660238
2.0,0,2,15.142049
21.0,0,21,15.186609
3.0,0,3,15.194551
8.0,0,8,15.209277
2.0,0,2,15.214061
4.0,0,4,15.222393
4.0,0,4,15.228801
19.0,0,19,15.261029
3.0,0,3,15.269677
18.0,0,18,15.305857
7.0,0,7,15.319215
2.0,0,2,15.323279
2.0,0,2,15.327105
4.0,0,4,15.333616
9.0,0,9,15.348987
12.0,0,12,15.370213
11.0,0,11,15.393027
31.0,0,31,15.449998
3.0,0,3,15.455899
5.0,0,5,15.464612
14.0,0,14,15.495567
2.0,0,2,15.500627
2.0,0,2,15.506108
2.0,0,2,15.510651
2.0,0,2,15.515226
6.0,0,6,15.527166
4.0,0,4,15.534151
4.0,0,4,15.541234
3.0,0,3,15.547146
19.0,0,19,15.587523
3.0,0,3,15.594413
7.0,0,7,15.609848
2.0,0,2,15.614424
3.0,0,3,15.621155
6.0,0,6,15.633876
8.0,0,8,15.647432
4.0,0,4,15.654084
5.0,0,5,15.664358
3.0,0,3,15.670434
