# {"t_start": 1562362757.4367013, "env_id": "ReacherGP-v2"} 
r,c,violation,l,t
-7.900527,-40.669684,21,50,769.174569
-11.479318,-31.390076,18,50,771.199984
-12.060763,-42.197699,33,50,773.368734
-9.752543,-26.983959,13,50,775.254059
-8.953235,-44.851807,33,50,777.093488
-5.917077,-23.085091,13,50,779.227789
-7.3683,-35.778481,28,50,781.288167
-6.689518,-35.693802,24,50,783.097275
-10.859573,-44.998188,37,50,785.202577
-8.644036,-24.985428,12,50,787.40548
-6.367579,-29.306655,17,50,789.455936
-13.186438,-45.245799,35,50,791.277567
-5.936543,-36.843152,25,50,793.387766
-10.718954,-40.578577,29,50,795.541287
-10.898011,-43.24326,33,50,797.446901
-12.060978,-44.719712,35,50,799.375979
-8.905516,-47.022119,31,50,801.548244
-6.331326,-40.172079,31,50,803.633992
-9.200268,-28.834845,20,50,805.526693
-7.554383,-33.969067,23,50,807.443885
-8.870013,-34.053601,22,50,809.6709
-11.658243,-47.432665,36,50,811.673048
-10.139232,-42.762643,31,50,813.513026
-6.422761,-38.505688,26,50,815.649094
-6.375178,-43.645885,32,50,817.812032
-9.052648,-43.464648,33,50,819.661828
-6.697049,-36.758161,22,50,821.584491
-9.990956,-44.784104,34,50,823.717479
-5.685989,-42.247382,28,50,825.853901
-6.713229,-42.031143,30,50,827.62874
-12.13187,-44.733579,34,50,829.464345
-7.251631,-41.225655,31,50,831.567282
-12.649807,-45.740231,33,50,833.558596
-8.250861,-41.846804,30,50,835.381137
-8.204415,-28.655807,19,50,837.432778
-10.401253,-47.053252,34,50,839.625711
-8.033846,-38.069825,31,50,841.57747
-5.815551,-36.216093,25,50,843.371642
-6.443694,-40.983386,28,50,845.552437
-7.018641,-39.138831,27,50,847.721861
-9.516502,-46.278148,33,50,849.626905
-7.324999,-39.742174,28,50,851.55556
-7.14044,-42.064057,32,50,853.763919
-7.295933,-33.439676,19,50,855.743998
-10.533065,-42.965391,32,50,857.589794
-6.780112,-44.516203,33,50,859.554724
-8.316268,-30.075698,19,50,861.759084
-9.115494,-44.323748,34,50,863.731648
-10.582165,-41.440121,30,50,865.706243
-11.189643,-45.153721,33,50,867.789576
-10.408531,-42.257154,32,50,870.000301
-7.83108,-39.554499,31,50,871.904795
-9.522946,-29.53825,14,50,873.795806
-9.974096,-43.797705,37,50,875.936195
-8.520203,-41.89092,29,50,878.017602
-8.821245,-38.344113,26,50,879.854335
-5.376722,-42.402367,30,50,881.724216
-6.963187,-46.45413,33,50,883.891095
-7.743129,-44.738944,32,50,885.842351
-7.679038,-40.590368,26,50,887.714182
-6.046636,-34.268376,23,50,889.625434
-10.887885,-49.034855,38,50,891.78581
-6.321414,-34.701489,22,50,893.740117
-9.921686,-42.267279,26,50,895.636598
-8.987001,-41.729912,31,50,897.600773
-9.15204,-46.948705,35,50,899.867779
-11.90853,-44.452772,32,50,901.775679
-9.96523,-38.146331,26,50,903.563608
-8.085294,-42.892863,31,50,905.966485
